,0
115," acidity, indigestion, headache/nIt might be Migraine"
116," acidity, indigestion, headache/nIt might be Migraine"
117," acidity, indigestion, headache/nIt might be Migraine"
118," acidity, indigestion, headache/nIt might be Migraine"
119," acidity, indigestion, headache/nIt might be Migraine"
120," back_pain, weakness_in_limbs, neck_pain/nIt might be Cervical spondylosis"
121," back_pain, weakness_in_limbs, neck_pain/nIt might be Cervical spondylosis"
122," weakness_in_limbs, neck_pain, dizziness/nIt might be Cervical spondylosis"
123," back_pain, neck_pain, dizziness/nIt might be Cervical spondylosis"
124," back_pain, weakness_in_limbs, dizziness/nIt might be Cervical spondylosis"
125," back_pain, weakness_in_limbs, neck_pain/nIt might be Cervical spondylosis"
126," back_pain, weakness_in_limbs, neck_pain/nIt might be Cervical spondylosis"
127," back_pain, weakness_in_limbs, neck_pain/nIt might be Cervical spondylosis"
128," weakness_in_limbs, neck_pain, dizziness/nIt might be Cervical spondylosis"
129," back_pain, neck_pain, dizziness/nIt might be Cervical spondylosis"
130," vomiting, headache, weakness_of_one_body_side/nIt might be Paralysis (brain hemorrhage)"
131," vomiting, headache, weakness_of_one_body_side/nIt might be Paralysis (brain hemorrhage)"
132," headache, weakness_of_one_body_side, altered_sensorium/nIt might be Paralysis (brain hemorrhage)"
133," vomiting, weakness_of_one_body_side, altered_sensorium/nIt might be Paralysis (brain hemorrhage)"
134," vomiting, headache, altered_sensorium/nIt might be Paralysis (brain hemorrhage)"
135," vomiting, headache, weakness_of_one_body_side/nIt might be Paralysis (brain hemorrhage)"
136," vomiting, headache, weakness_of_one_body_side/nIt might be Paralysis (brain hemorrhage)"
137," headache, weakness_of_one_body_side, altered_sensorium/nIt might be Paralysis (brain hemorrhage)"
138," vomiting, weakness_of_one_body_side, altered_sensorium/nIt might be Paralysis (brain hemorrhage)"
139," vomiting, headache, altered_sensorium/nIt might be Paralysis (brain hemorrhage)"
140,"itching, vomiting, fatigue/nIt might be Jaundice"
141,"itching, vomiting, fatigue/nIt might be Jaundice"
142," vomiting, fatigue, weight_loss/nIt might be Jaundice"
143,"itching, fatigue, weight_loss/nIt might be Jaundice"
144,"itching, vomiting, weight_loss/nIt might be Jaundice"
145,"itching, vomiting, fatigue/nIt might be Jaundice"
146,"itching, vomiting, fatigue/nIt might be Jaundice"
147,"itching, vomiting, fatigue/nIt might be Jaundice"
148,"itching, vomiting, fatigue/nIt might be Jaundice"
149,"itching, vomiting, fatigue/nIt might be Jaundice"
150," chills, vomiting, high_fever/nIt might be Malaria"
151," chills, vomiting, high_fever/nIt might be Malaria"
152," chills, vomiting, high_fever/nIt might be Malaria"
153," vomiting, high_fever, sweating/nIt might be Malaria"
154," chills, high_fever, sweating/nIt might be Malaria"
155," chills, vomiting, sweating/nIt might be Malaria"
156," chills, vomiting, high_fever/nIt might be Malaria"
157," chills, vomiting, high_fever/nIt might be Malaria"
158," chills, vomiting, high_fever/nIt might be Malaria"
159," chills, vomiting, high_fever/nIt might be Malaria"
160,"itching, skin_rash, fatigue/nIt might be Chicken pox"
161," skin_rash, fatigue, lethargy/nIt might be Chicken pox"
162,"itching, fatigue, lethargy/nIt might be Chicken pox"
163,"itching, skin_rash, lethargy/nIt might be Chicken pox"
164,"itching, skin_rash, fatigue/nIt might be Chicken pox"
165,"itching, skin_rash, fatigue/nIt might be Chicken pox"
166,"itching, skin_rash, fatigue/nIt might be Chicken pox"
167,"itching, skin_rash, fatigue/nIt might be Chicken pox"
168,"itching, skin_rash, fatigue/nIt might be Chicken pox"
169,"itching, skin_rash, fatigue/nIt might be Chicken pox"
170," skin_rash, chills, joint_pain/nIt might be Dengue"
171," skin_rash, chills, joint_pain/nIt might be Dengue"
172," skin_rash, chills, joint_pain/nIt might be Dengue"
173," skin_rash, chills, joint_pain/nIt might be Dengue"
174," chills, joint_pain, vomiting/nIt might be Dengue"
175," skin_rash, joint_pain, vomiting/nIt might be Dengue"
176," skin_rash, chills, vomiting/nIt might be Dengue"
177," skin_rash, chills, joint_pain/nIt might be Dengue"
178," skin_rash, chills, joint_pain/nIt might be Dengue"
179," skin_rash, chills, joint_pain/nIt might be Dengue"
180," chills, vomiting, fatigue/nIt might be Typhoid"
181," chills, vomiting, fatigue/nIt might be Typhoid"
182," chills, vomiting, fatigue/nIt might be Typhoid"
183," chills, vomiting, fatigue/nIt might be Typhoid"
184," chills, vomiting, fatigue/nIt might be Typhoid"
185," chills, vomiting, fatigue/nIt might be Typhoid"
186," chills, vomiting, fatigue/nIt might be Typhoid"
187," chills, vomiting, fatigue/nIt might be Typhoid"
188," chills, vomiting, fatigue/nIt might be Typhoid"
189," chills, fatigue, high_fever/nIt might be Typhoid"
190," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
191," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
192," vomiting, yellowish_skin, dark_urine/nIt might be hepatitis A"
193," joint_pain, yellowish_skin, dark_urine/nIt might be hepatitis A"
194," joint_pain, vomiting, dark_urine/nIt might be hepatitis A"
195," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
196," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
197," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
198," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
199," joint_pain, vomiting, yellowish_skin/nIt might be hepatitis A"
200,"itching, fatigue, lethargy/nIt might be Hepatitis B"
201,"itching, fatigue, lethargy/nIt might be Hepatitis B"
202," fatigue, lethargy, yellowish_skin/nIt might be Hepatitis B"
203,"itching, lethargy, yellowish_skin/nIt might be Hepatitis B"
204,"itching, fatigue, yellowish_skin/nIt might be Hepatitis B"
205,"itching, fatigue, lethargy/nIt might be Hepatitis B"
206,"itching, fatigue, lethargy/nIt might be Hepatitis B"
207,"itching, fatigue, lethargy/nIt might be Hepatitis B"
208,"itching, fatigue, lethargy/nIt might be Hepatitis B"
209,"itching, fatigue, lethargy/nIt might be Hepatitis B"
210," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
211," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
212," yellowish_skin, nausea, loss_of_appetite/nIt might be Hepatitis C"
213," fatigue, nausea, loss_of_appetite/nIt might be Hepatitis C"
214," fatigue, yellowish_skin, loss_of_appetite/nIt might be Hepatitis C"
215," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
216," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
217," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
218," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
219," fatigue, yellowish_skin, nausea/nIt might be Hepatitis C"
220," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
221," vomiting, fatigue, yellowish_skin/nIt might be Hepatitis D"
222," joint_pain, fatigue, yellowish_skin/nIt might be Hepatitis D"
223," joint_pain, vomiting, yellowish_skin/nIt might be Hepatitis D"
224," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
225," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
226," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
227," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
228," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
229," joint_pain, vomiting, fatigue/nIt might be Hepatitis D"
230," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
231," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
232," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
233," vomiting, fatigue, high_fever/nIt might be Hepatitis E"
234," joint_pain, fatigue, high_fever/nIt might be Hepatitis E"
235," joint_pain, vomiting, high_fever/nIt might be Hepatitis E"
236," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
237," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
238," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
239," joint_pain, vomiting, fatigue/nIt might be Hepatitis E"
240," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
241," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
242," yellowish_skin, abdominal_pain, swelling_of_stomach/nIt might be Alcoholic hepatitis"
243," vomiting, abdominal_pain, swelling_of_stomach/nIt might be Alcoholic hepatitis"
244," vomiting, yellowish_skin, swelling_of_stomach/nIt might be Alcoholic hepatitis"
245," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
246," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
247," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
248," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
249," vomiting, yellowish_skin, abdominal_pain/nIt might be Alcoholic hepatitis"
250," chills, vomiting, fatigue/nIt might be Tuberculosis"
251," chills, vomiting, fatigue/nIt might be Tuberculosis"
252," vomiting, fatigue, weight_loss/nIt might be Tuberculosis"
253," chills, fatigue, weight_loss/nIt might be Tuberculosis"
254," chills, vomiting, weight_loss/nIt might be Tuberculosis"
255," chills, vomiting, fatigue/nIt might be Tuberculosis"
256," chills, vomiting, fatigue/nIt might be Tuberculosis"
257," chills, vomiting, fatigue/nIt might be Tuberculosis"
258," chills, vomiting, fatigue/nIt might be Tuberculosis"
259," chills, vomiting, fatigue/nIt might be Tuberculosis"
260," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
261," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
262," chills, fatigue, cough/nIt might be Common Cold"
263," continuous_sneezing, fatigue, cough/nIt might be Common Cold"
264," continuous_sneezing, chills, cough/nIt might be Common Cold"
265," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
266," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
267," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
268," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
269," continuous_sneezing, chills, fatigue/nIt might be Common Cold"
270," chills, fatigue, cough/nIt might be Pneumonia"
271," chills, fatigue, cough/nIt might be Pneumonia"
272," chills, fatigue, cough/nIt might be Pneumonia"
273," fatigue, cough, high_fever/nIt might be Pneumonia"
274," chills, cough, high_fever/nIt might be Pneumonia"
275," chills, fatigue, high_fever/nIt might be Pneumonia"
276," chills, fatigue, cough/nIt might be Pneumonia"
277," chills, fatigue, cough/nIt might be Pneumonia"
278," chills, fatigue, cough/nIt might be Pneumonia"
279," chills, fatigue, cough/nIt might be Pneumonia"
280," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
281," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
282," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
283," pain_during_bowel_movements, pain_in_anal_region, bloody_stool/nIt might be Dimorphic hemmorhoids(piles)"
284," constipation, pain_in_anal_region, bloody_stool/nIt might be Dimorphic hemmorhoids(piles)"
285," constipation, pain_during_bowel_movements, bloody_stool/nIt might be Dimorphic hemmorhoids(piles)"
286," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
287," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
288," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
289," constipation, pain_during_bowel_movements, pain_in_anal_region/nIt might be Dimorphic hemmorhoids(piles)"
290," vomiting, breathlessness, sweating/nIt might be Heart attack"
291," vomiting, breathlessness, sweating/nIt might be Heart attack"
292," breathlessness, sweating, chest_pain/nIt might be Heart attack"
293," vomiting, sweating, chest_pain/nIt might be Heart attack"
294," vomiting, breathlessness, chest_pain/nIt might be Heart attack"
295," vomiting, breathlessness, sweating/nIt might be Heart attack"
296," vomiting, breathlessness, sweating/nIt might be Heart attack"
297," breathlessness, sweating, chest_pain/nIt might be Heart attack"
298," vomiting, sweating, chest_pain/nIt might be Heart attack"
299," vomiting, breathlessness, chest_pain/nIt might be Heart attack"
300," fatigue, cramps, bruising/nIt might be Varicose veins"
301," fatigue, cramps, bruising/nIt might be Varicose veins"
302," cramps, bruising, obesity/nIt might be Varicose veins"
303," fatigue, bruising, obesity/nIt might be Varicose veins"
304," fatigue, cramps, obesity/nIt might be Varicose veins"
305," fatigue, cramps, bruising/nIt might be Varicose veins"
306," fatigue, cramps, bruising/nIt might be Varicose veins"
307," fatigue, cramps, bruising/nIt might be Varicose veins"
308," fatigue, cramps, bruising/nIt might be Varicose veins"
309," fatigue, cramps, bruising/nIt might be Varicose veins"
310," fatigue, weight_gain, cold_hands_and_feets/nIt might be Hypothyroidism"
311," fatigue, weight_gain, cold_hands_and_feets/nIt might be Hypothyroidism"
312," weight_gain, cold_hands_and_feets, mood_swings/nIt might be Hypothyroidism"
313," weight_gain, cold_hands_and_feets, mood_swings/nIt might be Hypothyroidism"
314," fatigue, cold_hands_and_feets, mood_swings/nIt might be Hypothyroidism"
315," fatigue, weight_gain, mood_swings/nIt might be Hypothyroidism"
316," fatigue, weight_gain, cold_hands_and_feets/nIt might be Hypothyroidism"
317," fatigue, weight_gain, cold_hands_and_feets/nIt might be Hypothyroidism"
318," fatigue, weight_gain, cold_hands_and_feets/nIt might be Hypothyroidism"
319," fatigue, weight_gain, cold_hands_and_feets/nIt might be Hypothyroidism"
320," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
321," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
322," mood_swings, weight_loss, restlessness/nIt might be Hyperthyroidism"
323," fatigue, weight_loss, restlessness/nIt might be Hyperthyroidism"
324," fatigue, mood_swings, restlessness/nIt might be Hyperthyroidism"
325," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
326," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
327," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
328," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
329," fatigue, mood_swings, weight_loss/nIt might be Hyperthyroidism"
330," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
331," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
332," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
333," fatigue, anxiety, sweating/nIt might be Hypoglycemia"
334," vomiting, anxiety, sweating/nIt might be Hypoglycemia"
335," vomiting, fatigue, sweating/nIt might be Hypoglycemia"
336," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
337," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
338," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
339," vomiting, fatigue, anxiety/nIt might be Hypoglycemia"
340," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
341," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
342," neck_pain, knee_pain, hip_joint_pain/nIt might be Osteoarthristis"
343," joint_pain, knee_pain, hip_joint_pain/nIt might be Osteoarthristis"
344," joint_pain, neck_pain, hip_joint_pain/nIt might be Osteoarthristis"
345," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
346," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
347," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
348," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
349," joint_pain, neck_pain, knee_pain/nIt might be Osteoarthristis"
350," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
351," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
352," stiff_neck, swelling_joints, movement_stiffness/nIt might be Arthritis"
353," muscle_weakness, swelling_joints, movement_stiffness/nIt might be Arthritis"
354," muscle_weakness, stiff_neck, movement_stiffness/nIt might be Arthritis"
355," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
356," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
357," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
358," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
359," muscle_weakness, stiff_neck, swelling_joints/nIt might be Arthritis"
360," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
361," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
362," headache, nausea, spinning_movements/nIt might be (vertigo) Paroymsal  Positional Vertigo"
363," vomiting, nausea, spinning_movements/nIt might be (vertigo) Paroymsal  Positional Vertigo"
364," vomiting, headache, spinning_movements/nIt might be (vertigo) Paroymsal  Positional Vertigo"
365," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
366," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
367," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
368," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
369," vomiting, headache, nausea/nIt might be (vertigo) Paroymsal  Positional Vertigo"
370," skin_rash, pus_filled_pimples, blackheads/nIt might be Acne"
371," skin_rash, pus_filled_pimples, blackheads/nIt might be Acne"
372," pus_filled_pimples, blackheads, scurring/nIt might be Acne"
373," skin_rash, blackheads, scurring/nIt might be Acne"
374," skin_rash, pus_filled_pimples, scurring/nIt might be Acne"
375," skin_rash, pus_filled_pimples, blackheads/nIt might be Acne"
376," skin_rash, pus_filled_pimples, blackheads/nIt might be Acne"
377," skin_rash, pus_filled_pimples, blackheads/nIt might be Acne"
378," skin_rash, pus_filled_pimples, scurring/nIt might be Acne"
379," skin_rash, blackheads, scurring/nIt might be Acne"
380," burning_micturition, bladder_discomfort, foul_smell_of urine/nIt might be Urinary tract infection"
381," burning_micturition, bladder_discomfort, foul_smell_of urine/nIt might be Urinary tract infection"
382," bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine/nIt might be Urinary tract infection"
383," burning_micturition, foul_smell_of urine, continuous_feel_of_urine/nIt might be Urinary tract infection"
384," burning_micturition, bladder_discomfort, continuous_feel_of_urine/nIt might be Urinary tract infection"
385," burning_micturition, bladder_discomfort, foul_smell_of urine/nIt might be Urinary tract infection"
386," burning_micturition, bladder_discomfort, foul_smell_of urine/nIt might be Urinary tract infection"
387," burning_micturition, bladder_discomfort, continuous_feel_of_urine/nIt might be Urinary tract infection"
388," bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine/nIt might be Urinary tract infection"
389," burning_micturition, bladder_discomfort, continuous_feel_of_urine/nIt might be Urinary tract infection"
390," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
391," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
392," joint_pain, skin_peeling, silver_like_dusting/nIt might be Psoriasis"
393," skin_rash, skin_peeling, silver_like_dusting/nIt might be Psoriasis"
394," skin_rash, joint_pain, silver_like_dusting/nIt might be Psoriasis"
395," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
396," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
397," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
398," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
399," skin_rash, joint_pain, skin_peeling/nIt might be Psoriasis"
400," skin_rash, high_fever, blister/nIt might be Impetigo"
401," skin_rash, high_fever, blister/nIt might be Impetigo"
402," high_fever, blister, red_sore_around_nose/nIt might be Impetigo"
403," skin_rash, blister, red_sore_around_nose/nIt might be Impetigo"
404," skin_rash, blister, red_sore_around_nose/nIt might be Impetigo"
405," skin_rash, high_fever, red_sore_around_nose/nIt might be Impetigo"
406," skin_rash, high_fever, blister/nIt might be Impetigo"
407," skin_rash, high_fever, blister/nIt might be Impetigo"
408," skin_rash, high_fever, blister/nIt might be Impetigo"
409," skin_rash, blister, red_sore_around_nose/nIt might be Impetigo"
410,"itching, skin_rash, nodal_skin_eruptions/nIt might be Fungal infection"
411," skin_rash, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection"
412,"itching, nodal_skin_eruptions, dischromic _patches/nIt might be Fungal infection"
413,"itching, skin_rash, dischromic _patches/nIt might be Fungal infection"
